Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
41,Cam Atkinson\atkinca01,26,RW,CBJ,81,27,26,53,-8,22,21,4,2,3,20,6,0,226,11.9,1442,17:48,40,47,2,2,50.0
42,Blake Wheeler\wheelbl01,29,RW,WPG,82,26,52,78,8,49,21,3,2,5,36,14,2,256,10.2,1623,19:47,56,92,10,18,35.7
43,Taylor Hall\hallta02,24,LW,EDM,82,26,39,65,-4,54,22,4,0,6,31,8,0,286,9.1,1575,19:12,50,82,14,25,35.9
44,Mats Zuccarello\zuccama01,28,RW,NYR,81,26,35,61,2,34,19,7,0,4,24,11,0,166,15.7,1497,18:29,69,88,5,6,45.5
45,Phil Kessel\kesseph01,28,RW,PIT,82,26,33,59,9,18,22,4,0,5,20,13,0,274,9.5,1507,18:23,13,9,2,3,40.0
46,Brayden Schenn\schenbr01,24,C,PHI,80,26,33,59,3,33,15,11,0,5,22,11,0,178,14.6,1352,16:54,30,187,52,64,44.8
47,T.J. Oshie\oshietj01,29,RW,WSH,80,26,25,51,16,34,15,11,0,5,19,6,0,185,14.1,1517,18:58,62,134,138,124,52.7
48,Brock Nelson\nelsobr01,24,LW,NYI,81,26,14,40,-3,30,23,3,0,3,12,2,0,165,15.8,1280,15:48,50,59,186,202,47.9
49,Anze Kopitar\kopitan01,28,C,LAK,81,25,49,74,34,16,19,5,1,8,34,13,2,177,14.1,1690,20:52,65,78,950,826,53.5
50,Zach Parise\parisza01,31,LW,MIN,70,25,28,53,-3,36,18,7,0,7,17,11,0,234,10.7,1350,19:18,42,71,0,4,0.0
51,Vincent Trocheck\trochvi01,22,C,FLA,76,25,28,53,15,44,20,4,1,4,19,9,0,174,14.4,1351,17:46,41,125,547,559,49.5
52,Reilly Smith\smithre01,24,RW,FLA,82,25,25,50,19,31,20,5,0,3,18,6,1,173,14.5,1526,18:37,39,85,0,2,0.0
53,Patrick Marleau\marlepa01,36,LW,SJS,82,25,23,48,-22,10,13,11,1,5,9,14,0,216,11.6,1560,19:02,36,64,267,258,50.9
54,Jordan Eberle\eberljo01,25,RW,EDM,69,25,22,47,-12,14,18,7,0,4,18,4,0,173,14.5,1232,17:51,23,28,5,3,62.5
55,Andrew Ladd\laddan01,30,LW,TOT,78,25,21,46,-13,45,13,10,2,3,17,4,0,181,13.8,1475,18:55,42,155,8,5,61.5
56,Zack Smith\smithza01,27,C,OTT,81,25,11,36,16,80,16,4,5,4,9,1,1,121,20.7,1247,15:24,26,175,380,349,52.1
57,Jeff Carter\carteje01,31,C,LAK,77,24,38,62,18,20,19,4,1,6,29,8,1,242,9.9,1416,18:23,39,89,598,630,48.7
58,Jack Eichel\eicheja01,19,C,BUF,81,24,32,56,-16,22,16,8,0,5,19,13,0,238,10.1,1549,19:07,25,43,402,578,41.0
59,Mark Stone\stonema01,23,RW,OTT,75,23,38,61,-4,38,17,5,1,1,26,10,2,151,15.2,1508,20:06,54,55,8,11,42.1
60,Scott Hartnell\hartnsc01,33,LW,CBJ,79,23,26,49,-11,112,13,10,0,1,24,2,0,150,15.3,1231,15:35,41,131,0,3,0.0
61,Dylan Larkin\larkidy01,19,C,DET,80,23,22,45,11,34,19,4,0,5,21,1,0,221,10.4,1324,16:33,25,65,41,59,41.0
